id,Response,Question,id_Caso
44,5,initial_confidence,G1
48,4,initial_confidence,G1
49,5,initial_confidence,G1
50,4,initial_confidence,G1
51,3,initial_confidence,G1
52,5,initial_confidence,G1
53,4,initial_confidence,G1
54,3,initial_confidence,G1
55,4,initial_confidence,G1
56,2,initial_confidence,G1
57,3,initial_confidence,G1
59,3,initial_confidence,G1
62,5,initial_confidence,G1
63,5,initial_confidence,G1
65,1,initial_confidence,G1
68,3,initial_confidence,G1
44,5,complexity_perceived,G1
48,4,complexity_perceived,G1
49,4,complexity_perceived,G1
50,4,complexity_perceived,G1
51,3,complexity_perceived,G1
52,3,complexity_perceived,G1
53,3,complexity_perceived,G1
54,4,complexity_perceived,G1
55,4,complexity_perceived,G1
56,4,complexity_perceived,G1
57,3,complexity_perceived,G1
59,3,complexity_perceived,G1
62,4,complexity_perceived,G1
63,2,complexity_perceived,G1
65,4,complexity_perceived,G1
68,5,complexity_perceived,G1
44,5,final_confidence,G1
48,4,final_confidence,G1
49,5,final_confidence,G1
50,5,final_confidence,G1
51,2,final_confidence,G1
52,5,final_confidence,G1
53,3,final_confidence,G1
54,3,final_confidence,G1
55,4,final_confidence,G1
56,2,final_confidence,G1
57,3,final_confidence,G1
59,3,final_confidence,G1
62,5,final_confidence,G1
63,5,final_confidence,G1
65,4,final_confidence,G1
68,5,final_confidence,G1
44,3,utility,G1
48,2,utility,G1
49,3,utility,G1
50,2,utility,G1
51,2,utility,G1
52,5,utility,G1
53,4,utility,G1
54,2,utility,G1
55,2,utility,G1
56,2,utility,G1
57,3,utility,G1
59,1,utility,G1
62,4,utility,G1
63,2,utility,G1
65,5,utility,G1
68,5,utility,G1
44,1,Ground_truth,G1
48,1,Ground_truth,G1
49,1,Ground_truth,G1
50,1,Ground_truth,G1
51,1,Ground_truth,G1
52,1,Ground_truth,G1
53,1,Ground_truth,G1
54,1,Ground_truth,G1
55,1,Ground_truth,G1
56,1,Ground_truth,G1
57,1,Ground_truth,G1
59,1,Ground_truth,G1
62,1,Ground_truth,G1
63,1,Ground_truth,G1
65,1,Ground_truth,G1
68,1,Ground_truth,G1
44,0,reliance_pattern,G1
48,0,reliance_pattern,G1
49,1,reliance_pattern,G1
50,0,reliance_pattern,G1
51,1,reliance_pattern,G1
52,1,reliance_pattern,G1
53,1,reliance_pattern,G1
54,0,reliance_pattern,G1
55,1,reliance_pattern,G1
56,1,reliance_pattern,G1
57,1,reliance_pattern,G1
59,0,reliance_pattern,G1
62,0,reliance_pattern,G1
63,0,reliance_pattern,G1
65,1,reliance_pattern,G1
68,0,reliance_pattern,G1
44,6,initial_confidence,G2
48,5,initial_confidence,G2
49,5,initial_confidence,G2
50,5,initial_confidence,G2
51,5,initial_confidence,G2
52,5,initial_confidence,G2
53,5,initial_confidence,G2
54,4,initial_confidence,G2
55,6,initial_confidence,G2
56,4,initial_confidence,G2
57,4,initial_confidence,G2
59,6,initial_confidence,G2
62,5,initial_confidence,G2
63,3,initial_confidence,G2
65,3,initial_confidence,G2
68,3,initial_confidence,G2
44,3,complexity_perceived,G2
48,1,complexity_perceived,G2
49,4,complexity_perceived,G2
50,3,complexity_perceived,G2
51,2,complexity_perceived,G2
52,3,complexity_perceived,G2
53,2,complexity_perceived,G2
54,2,complexity_perceived,G2
55,2,complexity_perceived,G2
56,2,complexity_perceived,G2
57,3,complexity_perceived,G2
59,1,complexity_perceived,G2
62,3,complexity_perceived,G2
63,4,complexity_perceived,G2
65,3,complexity_perceived,G2
68,4,complexity_perceived,G2
44,3,final_confidence,G2
48,5,final_confidence,G2
49,5,final_confidence,G2
50,5,final_confidence,G2
51,3,final_confidence,G2
52,5,final_confidence,G2
53,5,final_confidence,G2
54,4,final_confidence,G2
55,5,final_confidence,G2
56,4,final_confidence,G2
57,3,final_confidence,G2
59,6,final_confidence,G2
62,5,final_confidence,G2
63,3,final_confidence,G2
65,4,final_confidence,G2
68,4,final_confidence,G2
44,3,utility,G2
48,1,utility,G2
49,4,utility,G2
50,2,utility,G2
51,2,utility,G2
52,3,utility,G2
53,3,utility,G2
54,4,utility,G2
55,1,utility,G2
56,3,utility,G2
57,3,utility,G2
59,1,utility,G2
62,4,utility,G2
63,4,utility,G2
65,4,utility,G2
68,1,utility,G2
44,0,Ground_truth,G2
48,0,Ground_truth,G2
49,0,Ground_truth,G2
50,0,Ground_truth,G2
51,0,Ground_truth,G2
52,0,Ground_truth,G2
53,0,Ground_truth,G2
54,0,Ground_truth,G2
55,0,Ground_truth,G2
56,0,Ground_truth,G2
57,0,Ground_truth,G2
59,0,Ground_truth,G2
62,0,Ground_truth,G2
63,0,Ground_truth,G2
65,0,Ground_truth,G2
68,0,Ground_truth,G2
44,1,reliance_pattern,G2
48,1,reliance_pattern,G2
49,0,reliance_pattern,G2
50,1,reliance_pattern,G2
51,0,reliance_pattern,G2
52,1,reliance_pattern,G2
53,0,reliance_pattern,G2
54,0,reliance_pattern,G2
55,0,reliance_pattern,G2
56,0,reliance_pattern,G2
57,0,reliance_pattern,G2
59,1,reliance_pattern,G2
62,1,reliance_pattern,G2
63,0,reliance_pattern,G2
65,1,reliance_pattern,G2
68,1,reliance_pattern,G2
44,6,initial_confidence,G3
48,6,initial_confidence,G3
49,5,initial_confidence,G3
50,3,initial_confidence,G3
51,3,initial_confidence,G3
52,5,initial_confidence,G3
53,5,initial_confidence,G3
54,4,initial_confidence,G3
55,4,initial_confidence,G3
56,4,initial_confidence,G3
57,4,initial_confidence,G3
59,6,initial_confidence,G3
62,5,initial_confidence,G3
63,4,initial_confidence,G3
65,4,initial_confidence,G3
68,5,initial_confidence,G3
44,2,complexity_perceived,G3
48,1,complexity_perceived,G3
49,3,complexity_perceived,G3
50,5,complexity_perceived,G3
51,4,complexity_perceived,G3
52,4,complexity_perceived,G3
53,3,complexity_perceived,G3
54,2,complexity_perceived,G3
55,3,complexity_perceived,G3
56,2,complexity_perceived,G3
57,3,complexity_perceived,G3
59,1,complexity_perceived,G3
62,3,complexity_perceived,G3
63,4,complexity_perceived,G3
65,2,complexity_perceived,G3
68,4,complexity_perceived,G3
44,6,final_confidence,G3
48,6,final_confidence,G3
49,5,final_confidence,G3
50,3,final_confidence,G3
51,3,final_confidence,G3
52,4,final_confidence,G3
53,3,final_confidence,G3
54,4,final_confidence,G3
55,5,final_confidence,G3
56,3,final_confidence,G3
57,3,final_confidence,G3
59,6,final_confidence,G3
62,5,final_confidence,G3
63,3,final_confidence,G3
65,5,final_confidence,G3
68,5,final_confidence,G3
44,1,utility,G3
48,4,utility,G3
49,2,utility,G3
50,2,utility,G3
51,3,utility,G3
52,3,utility,G3
53,4,utility,G3
54,2,utility,G3
55,2,utility,G3
56,2,utility,G3
57,2,utility,G3
59,1,utility,G3
62,4,utility,G3
63,4,utility,G3
65,4,utility,G3
68,5,utility,G3
44,1,Ground_truth,G3
48,1,Ground_truth,G3
49,1,Ground_truth,G3
50,1,Ground_truth,G3
51,1,Ground_truth,G3
52,1,Ground_truth,G3
53,1,Ground_truth,G3
54,1,Ground_truth,G3
55,1,Ground_truth,G3
56,1,Ground_truth,G3
57,1,Ground_truth,G3
59,1,Ground_truth,G3
62,1,Ground_truth,G3
63,1,Ground_truth,G3
65,1,Ground_truth,G3
68,1,Ground_truth,G3
44,1,reliance_pattern,G3
48,1,reliance_pattern,G3
49,1,reliance_pattern,G3
50,1,reliance_pattern,G3
51,0,reliance_pattern,G3
52,1,reliance_pattern,G3
53,0,reliance_pattern,G3
54,1,reliance_pattern,G3
55,1,reliance_pattern,G3
56,1,reliance_pattern,G3
57,1,reliance_pattern,G3
59,1,reliance_pattern,G3
62,1,reliance_pattern,G3
63,1,reliance_pattern,G3
65,1,reliance_pattern,G3
68,1,reliance_pattern,G3
44,6,initial_confidence,G4
48,6,initial_confidence,G4
49,5,initial_confidence,G4
50,6,initial_confidence,G4
51,5,initial_confidence,G4
52,2,initial_confidence,G4
53,5,initial_confidence,G4
54,4,initial_confidence,G4
55,6,initial_confidence,G4
56,4,initial_confidence,G4
57,5,initial_confidence,G4
59,6,initial_confidence,G4
62,6,initial_confidence,G4
63,4,initial_confidence,G4
65,5,initial_confidence,G4
68,5,initial_confidence,G4
44,1,complexity_perceived,G4
48,1,complexity_perceived,G4
49,4,complexity_perceived,G4
50,2,complexity_perceived,G4
51,1,complexity_perceived,G4
52,5,complexity_perceived,G4
53,2,complexity_perceived,G4
54,1,complexity_perceived,G4
55,2,complexity_perceived,G4
56,1,complexity_perceived,G4
57,3,complexity_perceived,G4
59,1,complexity_perceived,G4
62,3,complexity_perceived,G4
63,4,complexity_perceived,G4
65,1,complexity_perceived,G4
68,2,complexity_perceived,G4
44,6,final_confidence,G4
48,6,final_confidence,G4
49,5,final_confidence,G4
50,6,final_confidence,G4
51,5,final_confidence,G4
52,4,final_confidence,G4
53,5,final_confidence,G4
54,4,final_confidence,G4
55,6,final_confidence,G4
56,4,final_confidence,G4
57,4,final_confidence,G4
59,6,final_confidence,G4
62,6,final_confidence,G4
63,4,final_confidence,G4
65,5,final_confidence,G4
68,6,final_confidence,G4
44,2,utility,G4
48,3,utility,G4
49,2,utility,G4
50,3,utility,G4
51,1,utility,G4
52,4,utility,G4
53,4,utility,G4
54,2,utility,G4
55,1,utility,G4
56,3,utility,G4
57,2,utility,G4
59,1,utility,G4
62,3,utility,G4
63,4,utility,G4
65,2,utility,G4
68,3,utility,G4
44,1,Ground_truth,G4
48,1,Ground_truth,G4
49,1,Ground_truth,G4
50,1,Ground_truth,G4
51,1,Ground_truth,G4
52,1,Ground_truth,G4
53,1,Ground_truth,G4
54,1,Ground_truth,G4
55,1,Ground_truth,G4
56,1,Ground_truth,G4
57,1,Ground_truth,G4
59,1,Ground_truth,G4
62,1,Ground_truth,G4
63,1,Ground_truth,G4
65,1,Ground_truth,G4
68,1,Ground_truth,G4
44,1,reliance_pattern,G4
48,1,reliance_pattern,G4
49,1,reliance_pattern,G4
50,1,reliance_pattern,G4
51,1,reliance_pattern,G4
52,1,reliance_pattern,G4
53,1,reliance_pattern,G4
54,1,reliance_pattern,G4
55,1,reliance_pattern,G4
56,1,reliance_pattern,G4
57,1,reliance_pattern,G4
59,1,reliance_pattern,G4
62,1,reliance_pattern,G4
63,1,reliance_pattern,G4
65,1,reliance_pattern,G4
68,1,reliance_pattern,G4
44,5,initial_confidence,G5
48,5,initial_confidence,G5
49,2,initial_confidence,G5
50,4,initial_confidence,G5
51,6,initial_confidence,G5
52,4,initial_confidence,G5
53,4,initial_confidence,G5
54,2,initial_confidence,G5
55,5,initial_confidence,G5
56,4,initial_confidence,G5
57,5,initial_confidence,G5
59,6,initial_confidence,G5
62,5,initial_confidence,G5
63,6,initial_confidence,G5
65,5,initial_confidence,G5
68,4,initial_confidence,G5
44,3,complexity_perceived,G5
48,3,complexity_perceived,G5
49,5,complexity_perceived,G5
50,4,complexity_perceived,G5
51,1,complexity_perceived,G5
52,3,complexity_perceived,G5
53,3,complexity_perceived,G5
54,4,complexity_perceived,G5
55,2,complexity_perceived,G5
56,2,complexity_perceived,G5
57,2,complexity_perceived,G5
59,2,complexity_perceived,G5
62,3,complexity_perceived,G5
63,2,complexity_perceived,G5
65,1,complexity_perceived,G5
68,3,complexity_perceived,G5
44,6,final_confidence,G5
48,5,final_confidence,G5
49,2,final_confidence,G5
50,4,final_confidence,G5
51,6,final_confidence,G5
52,5,final_confidence,G5
53,4,final_confidence,G5
54,4,final_confidence,G5
55,5,final_confidence,G5
56,3,final_confidence,G5
57,5,final_confidence,G5
59,6,final_confidence,G5
62,5,final_confidence,G5
63,6,final_confidence,G5
65,5,final_confidence,G5
68,5,final_confidence,G5
44,3,utility,G5
48,2,utility,G5
49,2,utility,G5
50,2,utility,G5
51,2,utility,G5
52,3,utility,G5
53,5,utility,G5
54,4,utility,G5
55,2,utility,G5
56,3,utility,G5
57,3,utility,G5
59,2,utility,G5
62,3,utility,G5
63,2,utility,G5
65,1,utility,G5
68,5,utility,G5
44,0,Ground_truth,G5
48,0,Ground_truth,G5
49,0,Ground_truth,G5
50,0,Ground_truth,G5
51,0,Ground_truth,G5
52,0,Ground_truth,G5
53,0,Ground_truth,G5
54,0,Ground_truth,G5
55,0,Ground_truth,G5
56,0,Ground_truth,G5
57,0,Ground_truth,G5
59,0,Ground_truth,G5
62,0,Ground_truth,G5
63,0,Ground_truth,G5
65,0,Ground_truth,G5
68,0,Ground_truth,G5
44,1,reliance_pattern,G5
48,1,reliance_pattern,G5
49,0,reliance_pattern,G5
50,1,reliance_pattern,G5
51,1,reliance_pattern,G5
52,1,reliance_pattern,G5
53,1,reliance_pattern,G5
54,1,reliance_pattern,G5
55,1,reliance_pattern,G5
56,1,reliance_pattern,G5
57,1,reliance_pattern,G5
59,1,reliance_pattern,G5
62,1,reliance_pattern,G5
63,1,reliance_pattern,G5
65,1,reliance_pattern,G5
68,1,reliance_pattern,G5
44,4,initial_confidence,G6
48,3,initial_confidence,G6
49,5,initial_confidence,G6
50,5,initial_confidence,G6
51,5,initial_confidence,G6
52,4,initial_confidence,G6
53,5,initial_confidence,G6
54,3,initial_confidence,G6
55,5,initial_confidence,G6
56,4,initial_confidence,G6
57,3,initial_confidence,G6
59,5,initial_confidence,G6
62,5,initial_confidence,G6
63,4,initial_confidence,G6
65,2,initial_confidence,G6
68,3,initial_confidence,G6
44,5,complexity_perceived,G6
48,5,complexity_perceived,G6
49,3,complexity_perceived,G6
50,2,complexity_perceived,G6
51,1,complexity_perceived,G6
52,3,complexity_perceived,G6
53,3,complexity_perceived,G6
54,2,complexity_perceived,G6
55,2,complexity_perceived,G6
56,2,complexity_perceived,G6
57,3,complexity_perceived,G6
59,4,complexity_perceived,G6
62,4,complexity_perceived,G6
63,3,complexity_perceived,G6
65,4,complexity_perceived,G6
68,5,complexity_perceived,G6
44,5,final_confidence,G6
48,4,final_confidence,G6
49,5,final_confidence,G6
50,5,final_confidence,G6
51,5,final_confidence,G6
52,4,final_confidence,G6
53,5,final_confidence,G6
54,3,final_confidence,G6
55,5,final_confidence,G6
56,4,final_confidence,G6
57,4,final_confidence,G6
59,4,final_confidence,G6
62,4,final_confidence,G6
63,4,final_confidence,G6
65,4,final_confidence,G6
68,5,final_confidence,G6
44,5,utility,G6
48,5,utility,G6
49,2,utility,G6
50,2,utility,G6
51,4,utility,G6
52,2,utility,G6
53,3,utility,G6
54,4,utility,G6
55,1,utility,G6
56,3,utility,G6
57,2,utility,G6
59,3,utility,G6
62,4,utility,G6
63,3,utility,G6
65,4,utility,G6
68,5,utility,G6
44,1,Ground_truth,G6
48,1,Ground_truth,G6
49,1,Ground_truth,G6
50,1,Ground_truth,G6
51,1,Ground_truth,G6
52,1,Ground_truth,G6
53,1,Ground_truth,G6
54,1,Ground_truth,G6
55,1,Ground_truth,G6
56,1,Ground_truth,G6
57,1,Ground_truth,G6
59,1,Ground_truth,G6
62,1,Ground_truth,G6
63,1,Ground_truth,G6
65,1,Ground_truth,G6
68,1,Ground_truth,G6
44,1,reliance_pattern,G6
48,1,reliance_pattern,G6
49,1,reliance_pattern,G6
50,1,reliance_pattern,G6
51,1,reliance_pattern,G6
52,1,reliance_pattern,G6
53,1,reliance_pattern,G6
54,1,reliance_pattern,G6
55,1,reliance_pattern,G6
56,1,reliance_pattern,G6
57,1,reliance_pattern,G6
59,1,reliance_pattern,G6
62,1,reliance_pattern,G6
63,1,reliance_pattern,G6
65,1,reliance_pattern,G6
68,1,reliance_pattern,G6
44,6,initial_confidence,G7
48,6,initial_confidence,G7
